,year,n,n_inter,not_inter,n_solo
445,1400,14,0,7,7
433,1403,1,0,0,1
452,1425,1,0,0,1
493,1450,1,0,1,0
456,1469,3,0,1,2
530,1470,1,0,1,0
504,1472,2,0,1,1
542,1475,2,0,0,2
441,1476,4,0,1,3
548,1477,1,0,1,0
490,1478,1,0,0,1
532,1479,3,0,1,2
418,1480,2,0,1,1
471,1481,2,0,1,1
402,1482,4,0,3,1
500,1483,3,0,2,1
546,1484,1,0,0,1
519,1485,5,0,2,3
535,1486,1,0,0,1
543,1488,2,0,1,1
513,1489,5,0,2,3
488,1490,2,0,0,2
541,1491,2,0,1,1
366,1492,3,0,1,2
534,1493,5,0,3,2
498,1494,2,0,1,1
477,1495,6,0,5,1
476,1496,5,0,2,3
524,1497,6,0,5,1
484,1498,4,0,3,1
482,1499,3,0,2,1
276,1500,71,0,53,18
527,1501,5,0,0,5
474,1502,2,0,1,1
533,1503,1,0,1,0
451,1504,3,0,2,1
549,1505,1,0,1,0
494,1506,2,0,0,2
514,1507,1,0,1,0
467,1508,15,0,2,13
510,1509,5,0,1,4
496,1510,1,0,0,1
540,1511,2,0,1,1
483,1513,4,0,3,1
528,1514,4,0,2,2
544,1515,1,0,0,1
547,1516,1,0,1,0
353,1517,3,0,3,0
525,1518,5,0,1,4
486,1519,2,0,1,1
512,1520,4,0,1,3
464,1521,2,0,2,0
539,1522,1,0,0,1
447,1523,4,0,1,3
403,1524,5,0,2,3
522,1525,6,0,1,5
509,1526,3,0,2,1
545,1527,1,0,0,1
495,1528,5,0,5,0
536,1529,1,0,1,0
470,1530,5,0,2,3
453,1531,9,0,6,3
468,1532,16,0,5,11
489,1533,6,0,4,2
396,1534,7,0,4,3
462,1535,9,0,4,5
463,1536,4,0,0,4
460,1537,6,0,1,5
531,1538,2,0,2,0
459,1539,6,0,4,2
378,1540,6,0,4,2
537,1541,4,0,2,2
351,1542,9,0,2,7
431,1543,5,0,3,2
454,1544,6,0,3,3
400,1545,2,0,0,2
449,1546,5,0,2,3
485,1547,3,0,1,2
511,1548,5,0,1,4
518,1549,5,0,2,3
412,1550,8,0,4,4
465,1551,9,0,5,4
303,1552,8,0,7,1
516,1553,3,0,2,1
442,1554,13,0,5,8
523,1555,2,0,1,1
345,1556,7,0,6,1
499,1557,2,0,2,0
505,1558,6,0,3,3
420,1559,6,0,3,3
422,1560,9,0,4,5
311,1561,6,0,1,5
520,1562,4,0,1,3
475,1563,5,0,2,3
506,1564,5,0,1,4
423,1565,9,0,4,5
492,1566,4,0,1,3
358,1567,2,0,2,0
231,1568,4,0,2,2
526,1569,1,0,1,0
458,1570,4,0,2,2
408,1571,12,0,3,9
497,1572,11,0,3,8
360,1573,14,0,3,11
416,1574,6,0,1,5
440,1575,6,0,3,3
461,1576,9,0,7,2
397,1577,5,0,4,1
421,1578,6,0,3,3
399,1579,4,0,0,4
297,1580,5,0,2,3
448,1581,8,0,0,8
413,1582,6,0,4,2
478,1583,7,0,4,3
508,1584,4,0,1,3
426,1585,2,0,0,2
521,1586,5,0,2,3
238,1587,3,0,2,1
415,1588,5,0,3,2
436,1589,7,0,3,4
299,1590,18,0,3,15
348,1591,20,0,5,15
450,1592,28,0,4,24
341,1593,11,0,4,7
291,1594,35,0,7,28
227,1595,168,0,3,165
241,1596,102,0,71,31
323,1597,181,0,9,172
435,1598,59,0,3,56
285,1599,63,0,7,56
253,1600,229,0,14,215
425,1601,15,0,6,9
455,1602,22,0,12,10
369,1603,6,0,2,4
327,1604,51,0,5,46
529,1605,8,0,6,2
515,1606,9,0,4,5
386,1607,7,0,1,6
368,1608,62,0,3,59
240,1609,1047,0,8,1039
481,1610,6,0,2,4
491,1611,13,0,4,9
503,1612,9,0,0,9
260,1613,6,0,1,5
469,1614,8,0,3,5
479,1615,3,0,1,2
242,1616,166,0,4,162
417,1617,8,0,6,2
439,1618,6,0,1,5
246,1619,499,0,13,486
419,1620,11,0,6,5
502,1621,6,0,2,4
